"","PERSON_ID","DISPLAY_LAST_COMMA_FIRST","DISPLAY_FIRST_LAST","ROSTERSTATUS","FROM_YEAR","TO_YEAR","PLAYERCODE","PLAYER_SLUG","TEAM_ID","TEAM_CITY","TEAM_NAME","TEAM_ABBREVIATION","TEAM_CODE","TEAM_SLUG","GAMES_PLAYED_FLAG","OTHERLEAGUE_EXPERIENCE_CH"
"561","95","Bryant, Mark","Mark Bryant","0","1988","2002","mark_bryant","mark_bryant","0","","","","",NA,"Y","00"
"562","1628418","Bryant, Thomas","Thomas Bryant","1","2017","2021","thomas_bryant","thomas_bryant","1610612764","Washington","Wizards","WAS","wizards","wizards","Y","11"
"563","76291","Bryant, Wallace","Wallace Bryant","0","1983","1985","HISTADD_wallace_bryant","wallace_bryant","0","","","","",NA,"Y","00"
"564","76292","Bryn, Torgeir","Torgeir Bryn","0","1989","1989","HISTADD_torgeir_bryn","torgeir_bryn","0","","","","",NA,"Y","00"
"565","76293","Buckhalter, Joe","Joe Buckhalter","0","1961","1962","HISTADD_joe_buckhalter","joe_buckhalter","0","","","","",NA,"Y","00"
"566","76294","Bucknall, Steve","Steve Bucknall","0","1989","1989","HISTADD_steve_bucknall","steve_bucknall","0","","","","",NA,"Y","00"
"567","76295","Buckner, Cleveland","Cleveland Buckner","0","1961","1962","HISTADD_cleveland_buckner","cleveland_buckner","0","","","","",NA,"Y","00"
"568","1761","Buckner, Greg","Greg Buckner","0","1999","2008","greg_buckner","greg_buckner","0","","","","",NA,"Y","00"
"569","76296","Buckner, Quinn","Quinn Buckner","0","1976","1985","HISTADD_quinn_buckner","quinn_buckner","0","","","","",NA,"Y","00"
"570","76297","Budd, Dave","Dave Budd","0","1960","1964","HISTADD_dave_budd","dave_budd","0","","","","",NA,"Y","00"
"571","201978","Budinger, Chase","Chase Budinger","0","2009","2015","chase_budinger","chase_budinger","0","","","","",NA,"Y","00"
"572","76298","Budko, Walter","Walter Budko","0","1948","1951","HISTADD_walt_budko","walter_budko","0","","","","",NA,"Y","00"
"573","146","Buechler, Jud","Jud Buechler","0","1990","2001","jud_buechler","jud_buechler","0","","","","",NA,"Y","00"
"574","1934","Buford, Rodney","Rodney Buford","0","1999","2004","rodney_buford","rodney_buford","0","","","","",NA,"Y","00"
"575","672","Bullard, Matt","Matt Bullard","0","1990","2002","matt_bullard","matt_bullard","0","","","","",NA,"Y","00"
"576","203493","Bullock, Reggie","Reggie Bullock","1","2013","2021","reggie_bullock","reggie_bullock","1610612747","Los Angeles","Lakers","LAL","lakers","lakers","Y","01"
"577","76300","Bunch, Greg","Greg Bunch","0","1978","1978","HISTADD_greg_bunch","greg_bunch","0","","","","",NA,"Y","00"
"578","76301","Bunt, Dick","Dick Bunt","0","1952","1952","HISTADD_dick_bunt","dick_bunt","0","","","","",NA,"Y","00"
"579","76302","Buntin, Bill","Bill Buntin","0","1965","1965","HISTADD_bill_buntin","bill_buntin","0","","","","",NA,"Y","00"
"580","76303","Burden, Luther","Luther Burden","0","1976","1977","HISTADD_ticky_burden","luther_burden","0","","","","",NA,"Y","00"
"581","2469","Burke, Pat","Pat Burke","0","2002","2006","pat_burke","pat_burke","0","","","","",NA,"Y","00"
"582","203504","Burke, Trey","Trey Burke","1","2013","2021","trey_burke","trey_burke","1610612742","Dallas","Mavericks","DAL","mavericks","mavericks","Y","01"
"583","76304","Burkman, Roger","Roger Burkman","0","1981","1981","HISTADD_roger_burkman","roger_burkman","0","","","","",NA,"Y","00"
"584","202692","Burks, Alec","Alec Burks","1","2011","2021","alec_burks","alec_burks","1610612758","Sacramento","Kings","SAC","kings","kings","Y","01"
"585","2766","Burks, Antonio","Antonio Burks","0","2004","2005","antonio_burks","antonio_burks","0","","","","",NA,"Y","00"
"586","101207","Burleson, Kevin","Kevin Burleson","0","2005","2005","kevin_burleson","kevin_burleson","0","","","","",NA,"Y","01"
"587","76305","Burleson, Tom","Tom Burleson","0","1974","1980","HISTADD_tom_burleson","tom_burleson","0","","","","",NA,"Y","00"
"588","76306","Burmaster, Jack","Jack Burmaster","0","1949","1949","HISTADD_jack_burmaster","jack_burmaster","0","","","","",NA,"Y","00"
"589","76307","Burns, David","David Burns","0","1981","1981","HISTADD_david_burns","david_burns","0","","","","",NA,"Y","00"
"590","76308","Burns, Evers","Evers Burns","0","1993","1993","HISTADD_evers_burns","evers_burns","0","","","","",NA,"Y","00"
"591","76309","Burns, Jim","Jim Burns","0","1967","1967","HISTADD_jim_burns","jim_burns","0","","","","",NA,"Y","00"
"592","197","Burrell, Scott","Scott Burrell","0","1993","2000","scott_burrell","scott_burrell","0","","","","",NA,"Y","00"
